,Headlines,Date,level_0,index,Close,High,Low,Open,Volume
0,Elevation Said to Raise Facebook Stake,2010-06-29,0,0,1.5926669836044312,1.6666669845581055,1.1693329811096191,1.2666670083999634,281494500
1,Is Facebook Truly Worth $23 Billion? ; Is Facebook Really Worth $23 Billion? ; Food Brands Get Sociable on Facebook and Twitter,2010-06-30,1,1,1.5886670351028442,2.0280001163482666,1.553333044052124,1.7193330526351929,257806500
2,Congressman Seeks Inquiry on Trailers ; Death on Facebook ; Monitoring Teenage Phones and Facebook ; Congressman Seeks Inquiry on Trailers ; Death on Facebook ; Monitoring Teenage Phones and Facebook,2010-07-02,3,3,1.2799999713897705,1.5399999618530273,1.24733304977417,1.5333329439163208,77097000
3,5 Ways Congress Can Bolster Growth ; 5 Ways Congress Can Bolster Growth,2010-07-06,4,4,1.0740000009536743,1.3333330154418945,1.0553330183029175,1.3333330154418945,103003500
4,Obama Bypassing Congress on Medicare Job ; New Report Values Facebook at $12 Billion ; E.U. Antitrust Chief Looking at Google Allegations ; A Congressman’s Abs Garner Yeas ; For Those Facebook Left Behind ; Another Way to Fight Mischief on Facebook ; Obama Bypassing Congress on Medicare Job ; New Report Values Facebook at $12 Billion ; E.U. Antitrust Chief Looking at Google Allegations ; A Congressman’s Abs Garner Yeas ; For Those Facebook Left Behind ; Another Way to Fight Mischief on Facebook,2010-07-07,5,5,1.053333044052124,1.108667016029358,0.9986670017242432,1.0933330059051514,103825500
5,Facebook Makes Headway Around the World ; Facebook Makes Headway Around the World ; Q.&A.: Making Peace on Facebook ; Movie About Facebook Will Open the New York Film Festival ; Fincher Movie About Facebook Will Open New York Film Festival ; Facebook Makes Headway Around the World ; Facebook Makes Headway Around the World ; Q.&A.: Making Peace on Facebook ; Movie About Facebook Will Open the New York Film Festival ; Fincher Movie About Facebook Will Open New York Film Festival,2010-07-08,6,6,1.1640000343322754,1.1679999828338623,1.0379999876022339,1.0759999752044678,115671000
6,"As Congress Returns, Series of Tests Awaits ; A Summer Sprint for Congress ; As Congress Returns, Series of Tests Awaits ; A Summer Sprint for Congress",2010-07-12,8,8,1.136667013168335,1.2046669721603394,1.1333329677581787,1.196666955947876,33037500
7,Alcoa Profit Up Sharply Even as Price of Metal Falls ; Alcoa Profit Up Sharply Even as Price of Metal Falls,2010-07-13,9,9,1.2093329429626465,1.2426669597625732,1.1266670227050781,1.1593329906463623,40201500
8,"On Facebook, Telling Teachers How Much They Meant ; Farm Groups Push Congress to Ease Exports to Cuba ; A Disaster Congress Voted For ; Man Claims He Owns 84% of Facebook ; On Facebook, Telling Teachers How Much They Meant ; Farm Groups Push Congress to Ease Exports to Cuba ; A Disaster Congress Voted For ; Man Claims He Owns 84% of Facebook",2010-07-14,10,10,1.3226670026779175,1.3433330059051514,1.184000015258789,1.1959999799728394,62928000
9,Congressional Earmarks and Campaign Contributions ; Congress Sends Financial Bill to Obama ; Congress Passes Bill to Overhaul Financial Regulation ; Have You Friended Your Teachers on Facebook? ; Congressional Earmarks and Campaign Contributions ; Congress Sends Financial Bill to Obama ; Congress Passes Bill to Overhaul Financial Regulation ; Have You Friended Your Teachers on Facebook?,2010-07-15,11,11,1.3259999752044678,1.4333330392837524,1.2666670083999634,1.329332947731018,56097000
10,Congress Passes Financial Reform ; Beyond Facebook’s Reach ; Google Buys Metaweb to Improve Search Results ; Congress Passes Financial Reform ; Beyond Facebook’s Reach ; Google Buys Metaweb to Improve Search Results,2010-07-16,12,12,1.3760000467300415,1.4199999570846558,1.3366669416427612,1.3799999952316284,39319500
11,Green Dot I.P.O. Gets Valentine From Congress ; Google Buys Metaweb to Improve Search Results ; Green Dot I.P.O. Gets Valentine From Congress ; Google Buys Metaweb to Improve Search Results,2010-07-19,13,13,1.4606670141220093,1.4833329916000366,1.3946670293807983,1.4246670007705688,37297500
12,Congress Now Has a ‘Tea Party Caucus’ ; Congress Now Has a ‘Tea Party Caucus’,2010-07-20,14,14,1.3533329963684082,1.4566669464111328,1.3366669416427612,1.4566669464111328,27379500
13,The Ghosts of Facebook ; Facebook Tops 500 Million Users ; The Ghosts of Facebook ; Facebook Tops 500 Million Users,2010-07-21,15,15,1.3480000495910645,1.3933329582214355,1.2999999523162842,1.3773330450057983,18787500
14,"Facebook Tops 500 Million Users ; A Facebook I.P.O.? When It ‘Makes Sense,’ Zuckerberg Says ; Facebook Tops 500 Million Users ; A Facebook I.P.O.? When It ‘Makes Sense,’ Zuckerberg Says",2010-07-22,16,16,1.399999976158142,1.4166669845581055,1.3580000400543213,1.3666670322418213,14367000
15,"Congressman Rangel Faces Ethics Charges ; Diane Sawyer Interviews Mark Zuckerberg ; Wheelies: A Congressional Parking Perk, Even When Out of Office ; Congressman Rangel Faces Ethics Charges ; Diane Sawyer Interviews Mark Zuckerberg ; Wheelies: A Congressional Parking Perk, Even When Out of Office",2010-07-23,17,17,1.4193329811096191,1.4373329877853394,1.4040000438690186,1.4126670360565186,9804000
16,Congressman Wants Banks to Return Some Bonuses ; Full Week for Congress Before Vacation ; Europe to Investigate Antitrust Complaints Over I.B.M. Mainframes ; Congressman Wants Banks to Return Some Bonuses ; Full Week for Congress Before Vacation ; Europe to Investigate Antitrust Complaints Over I.B.M. Mainframes,2010-07-26,18,18,1.3966670036315918,1.4333330392837524,1.3533329963684082,1.4333330392837524,13833000
17,An Amazon-Facebook Alliance to Make Shopping More Social ; An Amazon-Facebook Alliance to Make Shopping More Social,2010-07-27,19,19,1.3700000047683716,1.4119999408721924,1.3506669998168945,1.3940000534057617,9295500
18,Google in Talks to Build Rival to Facebook ; Congress Moves to Narrow Cocaine Sentencing Disparities ; Have a Question? Ask Facebook ; Congress Rethinks Its Ban on Internet Gambling ; Researcher Releases Facebook Profile Data ; Google in Talks to Build Rival to Facebook ; Congress Moves to Narrow Cocaine Sentencing Disparities ; Have a Question? Ask Facebook ; Congress Rethinks Its Ban on Internet Gambling ; Researcher Releases Facebook Profile Data,2010-07-28,20,20,1.3813329935073853,1.3933329582214355,1.3673330545425415,1.3700000047683716,7008000
19,"

Congress Backs President on Southeast Asia Moves; Khanh Sets State of Siege

 ; 

Congress Backs President on Southeast Asia Moves; Khanh Sets State of Siege

",2010-07-29,21,21,1.3566670417785645,1.3919999599456787,1.3333330154418945,1.3846670389175415,9240000
20,Congressman Rangel Faces His Peers ; Waiting for a Facebook I.P.O.? Keep Waiting ; Congressman Rangel Faces His Peers ; Waiting for a Facebook I.P.O.? Keep Waiting,2010-07-30,22,22,1.329332947731018,1.3626669645309448,1.303333044052124,1.3466670513153076,6403500
21,"Meet Tumblr, Facebook and Twitter’s New Rival ; Q.&A.: Taking a Break From Facebook ; Meet Tumblr, Facebook and Twitter’s New Rival ; Q.&A.: Taking a Break From Facebook",2010-08-02,23,23,1.3946670293807983,1.3980000019073486,1.3553329706192017,1.3666670322418213,10771500
22,"For Congress, a New Vigilance in Policing Ethics ; Congress and the Spill ; For Congress, a New Vigilance in Policing Ethics ; Congress and the Spill",2010-08-03,24,24,1.463333010673523,1.463333010673523,1.3880000114440918,1.399999976158142,18457500
